"Name of tips","Number of mutations"
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23359_22146_34",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23430_14305_46",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23626_12216_21",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23691_17590_22",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23737_8616_30",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23760_11177_3",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23832_17882_10",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23872_8281_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24126_6089_4",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24213_4346_3",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24271_17351_15",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24288_8768_10",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24380_3751_4",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24400_5554_13",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24419_15383_3",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24436_5003_4",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24444_18377_7",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24516_11536_3",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24536_16300_3",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24649_20391_3",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24724_22271_3",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24751_19568_4",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24752_8817_7",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24805_20240_10",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24873_18116_3",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_24964_19159_4",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25103_14103_3",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25131_18638_17",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25148_5767_11",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25219_4459_12",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25450_6900_3",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25629_10180_19",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25686_14045_10",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25757_17361_3",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25832_18544_3",2
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_25843_17777_5",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26067_4779_9",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26117_12870_23",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26218_10857_10",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26256_8427_3",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26320_16724_18",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26353_20888_7",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26483_8644_9",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26485_4383_5",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26547_11936_17",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_26561_18473_6",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27187_17925_13",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27323_15729_18",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27343_13142_17",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27405_7855_11",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27485_10903_23",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27518_17787_63",25
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27550_8247_3",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27704_19415_31",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27717_15096_9",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_27910_17934_15",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_28003_9093_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_28067_19077_14",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_28153_11677_7",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_28423_18169_4",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_28470_13726_9",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_28476_8933_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_28646_14479_13",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_29086_9249_18",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_3356_12769_3",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_4754_9875_10",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_4772_18945_4",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5261_8428_9",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5388_13960_16",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5399_15237_6",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5466_12064_22",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5587_19632_4",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5598_11279_3",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5649_14743_5",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5669_15937_4",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5740_5424_4",1
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_5844_8015_3",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6389_7658_25",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6393_3329_17",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6464_9146_10",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6588_19880_11",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6613_8639_11",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6617_6501_4",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6806_6054_4",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_6880_9131_7",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_7111_16813_4",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_7638_2987_22",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_7662_15007_4",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_7707_7707_12",21
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_7719_6993_3",20
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_7906_13172_10",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8042_17729_11",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8082_5087_3",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8211_9269_3",21
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8265_17002_13",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8392_12319_8",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8564_19562_3",2
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8600_5910_11",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8788_12500_10",2
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_8863_9746_31",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9013_15314_4",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9079_7434_14",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9315_15509_5",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9453_8507_4",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9507_13570_3",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9555_12671_6",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9589_3059_7",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9676_13283_3",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9690_3111_6",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_9694_17783_7",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10101_15391_11",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10253_4809_3",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10259_19109_18",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10270_11350_3",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10288_15079_7",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10357_15134_8",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10369_7526_13",2
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10542_6417_14",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10627_4178_6",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10700_12200_3",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10721_10635_4",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10747_13461_15",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10766_21120_11",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10839_15597_14",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_10910_14010_6",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11032_21858_3",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11079_5020_3",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11225_11379_10",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11355_17418_4",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11413_7881_16",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11563_14498_8",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11591_18443_11",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11605_7763_4",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11666_3909_9",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1102_11715_10415_8",10
