"Name of tips","Number of mutations"
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2106_24142_11342_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2106_25825_12056_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2107_14819_13185_4",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2107_17789_8787_5",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2107_17790_3598_5",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2107_18879_5089_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2107_7744_8233_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2108_11437_7317_2",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2108_19319_20640_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2108_24404_9512_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2108_26265_7993_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2109_13091_6416_3",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2109_14133_10735_6",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2109_14765_14193_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2109_15623_3953_6",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2109_19066_19204_4",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2109_25680_19728_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2110_11485_13753_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2110_22855_16273_4",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2112_15782_13554_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2112_16608_8909_5",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2112_21615_19843_6",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2112_23948_20363_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2112_28653_15937_5",11
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2112_4929_9652_2",9
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2113_17038_11199_4",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2113_23099_14742_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2114_23614_12335_3",9
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2114_26700_17339_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2115_10245_18637_4",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2115_7476_14390_6",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2115_8683_4394_4",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2115_9798_15166_5",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2116_13290_4128_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2116_22649_20059_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2116_23088_16097_3",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2116_24053_12628_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2116_27272_16967_5",12
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2116_8674_12859_5",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2117_11501_11181_3",9
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2117_11847_12130_3",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2117_18666_19214_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2117_20833_21574_6",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2117_24341_15224_2",9
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2117_26270_20332_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2118_21725_4902_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2118_24758_19179_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2118_7762_15707_6",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2119_10891_18664_6",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2119_14630_5725_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2119_16836_20986_2",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2119_16957_5922_5",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2119_18788_17451_5",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2119_22064_23045_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2119_9420_17070_3",8
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_11209_18500_4",2
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_13922_19649_2",4
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_14167_13214_6",2
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_14769_11719_5",1
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_15012_6081_2",2
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_15998_12598_3",4
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_16035_14686_5",2
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_17175_20480_2",3
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_17360_18465_5",5
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_17996_4035_6",7
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_18620_7732_4",5
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_18691_7472_2",3
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_19233_13026_2",3
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_19438_9836_3",2
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_19676_21471_6",2
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_20026_22769_3",3
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_20100_5977_3",3
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_20353_14498_5",2
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_20827_2686_3",7
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_21133_10299_4",11
"M1Dl43_bc1_M04958_49_000000000-JR7R4_1_1101_21409_9449_4",12
