Name of tips,Number of mutations
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_10134_2820_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_10338_17676_3,18
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_10362_12727_17,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_10497_14387_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_10597_12987_9,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_10706_10449_5,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_10846_4001_4,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_11135_18088_9,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_11380_18019_6,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_11594_18409_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_11680_8504_4,15
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_12741_15853_7,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_12953_12329_9,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_13349_15208_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_13541_12033_6,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_13868_8546_3,15
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_13934_9051_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_14101_3608_5,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_14188_15279_4,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_14220_20529_3,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_14246_9387_4,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_15172_13553_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_15386_19487_4,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_15596_14688_3,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_15608_1614_4,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_15811_7729_4,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_15886_20277_4,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_15905_8799_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_16003_6373_4,15
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_16078_15221_3,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_16910_7615_3,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_17095_19943_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_17101_4596_5,16
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_17246_13812_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_17278_15542_3,16
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_17374_7726_3,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_17969_10598_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_17982_20644_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_18316_9553_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_18493_5242_5,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_18812_11337_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_18822_11750_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_18867_8703_8,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_18875_14956_6,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_19015_19192_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_19111_2295_4,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_19224_11180_3,18
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_19279_15896_3,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_19359_7666_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_19449_11837_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_19698_13356_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20247_10527_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20329_9520_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20495_20394_8,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20510_8511_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20623_10680_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20716_14750_4,26
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20844_15281_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_20886_10099_5,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_21284_10630_6,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_21667_3989_6,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_21921_11119_5,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_22046_13490_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_22062_15771_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_22362_17568_4,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_22932_10755_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_23117_13761_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_23803_19545_6,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_24352_19050_3,6
